,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
401,101,618,10,0,0,0,1,3.8,5,2,136
402,101,1639,10,0,0,0,1,3.8,5,2,160
403,101,62,25,0,0,0,2,3.7,5,2,152
404,101,324,10,0,0,0,1,3.5,5,2,57
405,101,89,25,0,0,0,2,3.7,5,2,191
406,101,98,40,0,0,0,3,3.6,5,2,85
407,101,1212,0,0,0,0,1,3.6,5,2,108
408,101,152,25,0,0,0,2,3.6,5,2,132
409,101,1004,25,0,0,0,2,3.8,5,2,141
410,101,789,25,0,0,0,2,3.7,5,2,162
411,101,1300,40,0,0,0,3,3.6,5,2,144
412,101,1016,25,0,0,0,2,0.0,4,3,1
413,101,1212,10,0,0,0,1,4.1,1,5,365
414,102,12,25,0,0,0,2,3.3,2,0,9
415,104,1667,70,0,0,0,4,4.0,1,5,542
416,110,1667,25,0,0,0,2,4.5,0,1,691
417,110,90,35,0,0,0,3,4.7,0,1,764
418,110,1825,10,0,0,0,1,4.7,0,1,707
419,110,1667,30,0,0,0,3,4.5,0,1,487
420,110,65,10,0,0,0,1,4.5,0,1,695
421,110,294,40,0,0,0,3,4.2,1,5,485
422,110,1123,40,0,0,0,3,4.2,1,5,807
423,110,115,10,0,0,0,1,4.6,0,1,723
424,110,119,10,0,0,0,1,4.2,1,5,874
425,110,269,25,0,0,0,2,4.4,1,5,552
426,110,950,40,0,0,0,3,4.3,1,5,1056
427,110,950,40,0,0,0,3,4.3,1,5,707
428,110,949,70,0,0,0,4,4.9,0,1,1343
429,110,1111,10,0,0,0,1,4.9,0,1,602
430,110,7,40,0,0,0,3,4.6,0,1,1078
431,110,6,25,0,0,0,2,3.9,5,2,232
432,110,950,70,0,0,0,4,4.4,1,5,1492
433,110,268,10,0,0,0,1,4.0,1,5,535
434,110,135,70,0,0,0,4,4.2,1,5,531
435,110,26,25,0,0,0,2,4.2,1,5,694
436,115,1738,40,0,0,0,3,3.3,2,0,1201
437,115,294,40,0,0,0,3,4.7,0,1,906
438,115,786,10,0,0,0,1,4.6,0,1,880
439,115,100,40,0,0,0,3,4.5,0,1,1014
440,115,1025,25,0,0,0,2,4.5,0,1,796
441,115,20,25,0,0,0,2,3.7,5,2,747
442,115,98,40,0,0,0,3,3.8,5,2,566
443,115,21,25,0,0,0,2,4.1,1,5,683
